text,label
The Industrial Revolution began in Britain and transformed economies.,History
The Great Depression began in 1929 after the stock market crash.,History
"The water cycle includes evaporation, condensation, and precipitation.",Science
"The Fibonacci sequence starts with 0 and 1, and each term is the sum of the previous two.",Math
The Industrial Revolution began in Britain and transformed economies.,History
The Great Depression began in 1929 after the stock market crash.,History
Newton's laws describe the motion of objects under forces.,Science
Gravity is a force of attraction between two masses.,Science
A function defines a relationship between input and output.,Math
Sound travels faster through solids than through gases.,Science
"The Berlin Wall fell in 1989, symbolizing the end of the Cold War.",History
A matrix is a rectangular array of numbers arranged in rows and columns.,Math
Ancient Egypt is known for its pyramids and pharaohs.,History
A function defines a relationship between input and output.,Math
"The water cycle includes evaporation, condensation, and precipitation.",Science
Mahatma Gandhi led the Indian independence movement through nonviolence.,History
The Renaissance was a period of cultural rebirth in Europe.,History
Mahatma Gandhi led the Indian independence movement through nonviolence.,History
"An atom consists of protons, neutrons, and electrons.",Science
Sound travels faster through solids than through gases.,Science
Probability represents the likelihood of an event occurring.,Math
Cells are the basic building blocks of all living organisms.,Science
The Renaissance was a period of cultural rebirth in Europe.,History
The French Revolution began in 1789 and drastically changed French society.,History
The periodic table organizes elements based on their properties.,Science
"In algebra, variables are used to represent unknown values.",Math
Mahatma Gandhi led the Indian independence movement through nonviolence.,History
The American Civil War was fought between the North and South from 1861 to 1865.,History
DNA carries genetic information in living organisms.,Science
Ancient Egypt is known for its pyramids and pharaohs.,History
A matrix is a rectangular array of numbers arranged in rows and columns.,Math
The periodic table organizes elements based on their properties.,Science
The derivative measures the rate at which a function changes.,Math
An integral calculates the area under a curve.,Math
The American Civil War was fought between the North and South from 1861 to 1865.,History
Gravity is a force of attraction between two masses.,Science
A matrix is a rectangular array of numbers arranged in rows and columns.,Math
A prime number has exactly two positive divisors: 1 and itself.,Math
The area of a circle is π times the square of the radius.,Math
The derivative measures the rate at which a function changes.,Math
The derivative measures the rate at which a function changes.,Math
The area of a circle is π times the square of the radius.,Math
The Great Depression began in 1929 after the stock market crash.,History
A prime number has exactly two positive divisors: 1 and itself.,Math
A matrix is a rectangular array of numbers arranged in rows and columns.,Math
The derivative measures the rate at which a function changes.,Math
World War II lasted from 1939 to 1945.,History
The Renaissance was a period of cultural rebirth in Europe.,History
Electricity is the flow of electrons through a conductor.,Science
Mahatma Gandhi led the Indian independence movement through nonviolence.,History
Photosynthesis is the process by which plants make food using sunlight.,Science
The periodic table organizes elements based on their properties.,Science
The Renaissance was a period of cultural rebirth in Europe.,History
A function defines a relationship between input and output.,Math
"The Berlin Wall fell in 1989, symbolizing the end of the Cold War.",History
Ancient Egypt is known for its pyramids and pharaohs.,History
A matrix is a rectangular array of numbers arranged in rows and columns.,Math
"In algebra, variables are used to represent unknown values.",Math
"The water cycle includes evaporation, condensation, and precipitation.",Science
A function defines a relationship between input and output.,Math
The Roman Empire was one of the largest empires in ancient history.,History
"The Fibonacci sequence starts with 0 and 1, and each term is the sum of the previous two.",Math
The area of a circle is π times the square of the radius.,Math
Sound travels faster through solids than through gases.,Science
Cells are the basic building blocks of all living organisms.,Science
A prime number has exactly two positive divisors: 1 and itself.,Math
"In algebra, variables are used to represent unknown values.",Math
The Great Depression began in 1929 after the stock market crash.,History
The area of a circle is π times the square of the radius.,Math
Newton's laws describe the motion of objects under forces.,Science
"An atom consists of protons, neutrons, and electrons.",Science
Newton's laws describe the motion of objects under forces.,Science
The French Revolution began in 1789 and drastically changed French society.,History
Cells are the basic building blocks of all living organisms.,Science
Gravity is a force of attraction between two masses.,Science
The Roman Empire was one of the largest empires in ancient history.,History
"In algebra, variables are used to represent unknown values.",Math
An integral calculates the area under a curve.,Math
The area of a circle is π times the square of the radius.,Math
Ancient Egypt is known for its pyramids and pharaohs.,History
Cells are the basic building blocks of all living organisms.,Science
The periodic table organizes elements based on their properties.,Science
"The Fibonacci sequence starts with 0 and 1, and each term is the sum of the previous two.",Math
The periodic table organizes elements based on their properties.,Science
"The Fibonacci sequence starts with 0 and 1, and each term is the sum of the previous two.",Math
The periodic table organizes elements based on their properties.,Science
"An atom consists of protons, neutrons, and electrons.",Science
"In algebra, variables are used to represent unknown values.",Math
A function defines a relationship between input and output.,Math
A prime number has exactly two positive divisors: 1 and itself.,Math
The periodic table organizes elements based on their properties.,Science
Electricity is the flow of electrons through a conductor.,Science
Probability represents the likelihood of an event occurring.,Math
World War II lasted from 1939 to 1945.,History
A matrix is a rectangular array of numbers arranged in rows and columns.,Math
The area of a circle is π times the square of the radius.,Math
Gravity is a force of attraction between two masses.,Science
DNA carries genetic information in living organisms.,Science
World War II lasted from 1939 to 1945.,History
A matrix is a rectangular array of numbers arranged in rows and columns.,Math
Ancient Egypt is known for its pyramids and pharaohs.,History
"The Fibonacci sequence starts with 0 and 1, and each term is the sum of the previous two.",Math
The Pythagorean Theorem relates the lengths of a right triangle.,Math
Cells are the basic building blocks of all living organisms.,Science
The American Civil War was fought between the North and South from 1861 to 1865.,History
The American Civil War was fought between the North and South from 1861 to 1865.,History
Photosynthesis is the process by which plants make food using sunlight.,Science
Probability represents the likelihood of an event occurring.,Math
Electricity is the flow of electrons through a conductor.,Science
The area of a circle is π times the square of the radius.,Math
"The water cycle includes evaporation, condensation, and precipitation.",Science
The Roman Empire was one of the largest empires in ancient history.,History
The area of a circle is π times the square of the radius.,Math
Ancient Egypt is known for its pyramids and pharaohs.,History
The American Civil War was fought between the North and South from 1861 to 1865.,History
Newton's laws describe the motion of objects under forces.,Science
Newton's laws describe the motion of objects under forces.,Science
The Roman Empire was one of the largest empires in ancient history.,History
DNA carries genetic information in living organisms.,Science
The Great Depression began in 1929 after the stock market crash.,History
A function defines a relationship between input and output.,Math
"The water cycle includes evaporation, condensation, and precipitation.",Science
The periodic table organizes elements based on their properties.,Science
DNA carries genetic information in living organisms.,Science
Gravity is a force of attraction between two masses.,Science
The Industrial Revolution began in Britain and transformed economies.,History
Probability represents the likelihood of an event occurring.,Math
Sound travels faster through solids than through gases.,Science
Sound travels faster through solids than through gases.,Science
The Industrial Revolution began in Britain and transformed economies.,History
DNA carries genetic information in living organisms.,Science
"The water cycle includes evaporation, condensation, and precipitation.",Science
"An atom consists of protons, neutrons, and electrons.",Science
DNA carries genetic information in living organisms.,Science
